"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"223","C2-AD273_6E10_4_CA1.oir",5,254.917,50.983,0.016,255,23.69,0.984,0.901,"CA1","SHAM","F"
"224","C2-AD273_6E10_5_CA1.oir",4,151.405,37.851,0.009,255,20.899,0.96,0.88,"CA1","SHAM","F"
"225","C2-AD273_6E10_6_CA1.oir",2,186.939,93.47,0.012,255,34.917,0.952,0.911,"CA1","SHAM","F"
"226","C2-AD273_6E10_7_CA1.oir",6,431.042,71.84,0.027,255,29.158,0.988,0.918,"CA1","SHAM","F"
"227","C2-AD273_6E10_8_CA1.oir",3,132.866,44.289,0.008,255,22.793,1,0.903,"CA1","SHAM","F"
"228","C2-AD284_6E10_1_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","F"
"229","C2-AD073_6E10_6_CA1.oir",8,531.464,66.433,0.033,255,28.385,0.902,0.871,"CA1","SHAM","M"
"230","C2-AD284_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","F"
"231","C2-AD284_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","F"
"232","C2-AD284_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","F"
"233","C2-AD073_6E10_1_CA1.oir",3,105.057,35.019,0.006,255,19.034,0.998,0.896,"CA1","SHAM","M"
"234","C2-AD080_6E10_1_CA1.oir",8,437.222,54.653,0.027,255,25.256,0.969,0.899,"CA1","SHAM","F"
"235","C2-AD080_6E10_2_CA1.oir",18,713.768,39.654,0.044,255,19.732,0.975,0.913,"CA1","SHAM","F"
"236","C2-AD080_6E10_3_CA1.oir",30,3820.667,127.356,0.236,255,34.661,0.94,0.901,"CA1","SHAM","F"
"237","C2-AD080_6E10_4_CA1.oir",6,566.998,94.5,0.035,255,36.675,0.895,0.887,"CA1","SHAM","F"
"238","C2-AD080_6E10_6_CA1.oir",7,245.647,35.092,0.015,255,18.844,0.904,0.872,"CA1","SHAM","F"
"239","C2-AD080_6E10_7_CA1.oir",4,271.912,67.978,0.017,255,28.916,0.997,0.909,"CA1","SHAM","F"
"240","C2-AD085_6E10_1_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"241","C2-AD085_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"242","C2-AD073_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"243","C2-AD085_6E10_3_CA1.oir",2,84.972,42.486,0.005,255,20.792,0.96,0.843,"CA1","SHAM","M"
"244","C2-AD085_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"245","C2-AD085_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"246","C2-AD085_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"247","C2-AD085_6E10_7_CA1.oir",2,72.613,36.306,0.004,255,20.277,1,0.907,"CA1","SHAM","M"
"248","C2-AD175_6E10_1_CA1.oir",3,163.765,54.588,0.01,255,26.208,0.975,0.884,"CA1","SHAM","F"
"249","C2-AD175_6E10_2_CA1.oir",3,57.163,19.054,0.004,255,14.205,0.966,0.916,"CA1","SHAM","F"
"250","C2-AD175_6E10_3_CA1.oir",15,560.818,37.388,0.035,255,20.077,0.959,0.923,"CA1","SHAM","F"
"251","C2-AD175_6E10_4_CA1.oir",17,994.949,58.526,0.061,255,26.972,0.892,0.864,"CA1","SHAM","F"
"252","C2-AD175_6E10_5_CA1.oir",1,60.253,60.253,0.004,255,28.552,0.929,0.867,"CA1","SHAM","F"
"253","C2-AD182_6E10_1_CA1.oir",2,159.13,79.565,0.01,255,31.037,0.983,0.915,"CA1","SHAM","F"
"254","C2-AD073_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","M"
"255","C2-AD182_6E10_2_CA1.oir",2,40.169,20.084,0.002,255,14.791,1,0.899,"CA1","SHAM","F"
"256","C2-AD182_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","SHAM","F"
"257","C2-AD182_6E10_5_CA1.oir",2,64.888,32.444,0.004,255,18.884,1,0.948,"CA1","SHAM","F"
"258","C2-AD182_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
"259","C2-AD182_6E10_7_CA3.oir",2,74.158,37.079,0.005,255,19.913,1,0.912,"CA3","SHAM","F"
"260","C2-AD259_6E10_1_CA3.oir",21,902.252,42.964,0.056,255,21.208,0.987,0.894,"CA3","SHAM","M"
"261","C2-AD259_6E10_2_CA3.oir",21,977.955,46.569,0.06,255,22.288,0.975,0.905,"CA3","SHAM","M"
"262","C2-AD259_6E10_3_CA3.oir",9,319.805,35.534,0.02,255,19.358,0.982,0.914,"CA3","SHAM","M"
"263","C2-AD259_6E10_4_CA3.oir",16,672.054,42.003,0.041,255,20.205,0.99,0.905,"CA3","SHAM","M"
"264","C2-AD259_6E10_5_CA3.oir",13,548.458,42.189,0.034,255,21.725,0.958,0.896,"CA3","SHAM","M"
"265","C2-AD259_6E10_6_CA3.oir",4,122.051,30.513,0.008,255,18.08,1,0.898,"CA3","SHAM","M"
"266","C2-AD259_6E10_7_CA3.oir",2,64.888,32.444,0.004,255,18.519,1,0.952,"CA3","SHAM","M"
"267","C2-AD259_6E10_8_CA3.oir",16,755.482,47.218,0.047,255,22.948,0.987,0.906,"CA3","SHAM","M"
"268","C2-AD073_6E10_4_CA3.oir",4,281.181,70.295,0.017,255,27.779,0.988,0.906,"CA3","SHAM","M"
"269","C2-AD270_6E10_1_CA3.oir",6,301.266,50.211,0.019,255,22.813,0.999,0.934,"CA3","SHAM","F"
"270","C2-AD270_6E10_2_CA3.oir",6,432.587,72.098,0.027,255,28.987,0.934,0.904,"CA3","SHAM","F"
"271","C2-AD270_6E10_3_CA3.oir",11,624.161,56.742,0.039,255,24.992,0.988,0.925,"CA3","SHAM","F"
"272","C2-AD270_6E10_4_CA3.oir",6,279.636,46.606,0.017,255,23.278,0.994,0.91,"CA3","SHAM","F"
"273","C2-AD270_6E10_5_CA3.oir",7,162.22,23.174,0.01,255,15.562,0.998,0.93,"CA3","SHAM","F"
"274","C2-AD270_6E10_6_CA3.oir",8,414.047,51.756,0.026,255,23.937,0.993,0.917,"CA3","SHAM","F"
"275","C2-AD270_6E10_7_CA3.oir",5,165.31,33.062,0.01,255,19.968,0.935,0.893,"CA3","SHAM","F"
"276","C2-AD270_6E10_8_CA3.oir",6,353.794,58.966,0.022,255,26.158,0.992,0.906,"CA3","SHAM","F"
"277","C2-AD273_6E10_1_CA3.oir",9,471.21,52.357,0.029,255,25.002,0.92,0.903,"CA3","SHAM","F"
"278","C2-AD273_6E10_2_CA3.oir",3,69.523,23.174,0.004,255,15.761,1,0.967,"CA3","SHAM","F"
"279","C2-AD273_6E10_3_CA3.oir",4,137.501,34.375,0.008,255,19.216,1,0.923,"CA3","SHAM","F"
"280","C2-AD273_6E10_4_CA3.oir",8,427.952,53.494,0.026,255,23.809,0.973,0.909,"CA3","SHAM","F"
"281","C2-AD273_6E10_5_CA3.oir",5,139.046,27.809,0.009,255,18.356,0.992,0.918,"CA3","SHAM","F"
"282","C2-AD273_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
"283","C2-AD273_6E10_7_CA3.oir",7,573.177,81.882,0.035,255,31.514,0.985,0.928,"CA3","SHAM","F"
"284","C2-AD273_6E10_8_CA3.oir",5,171.49,34.298,0.011,255,19.411,0.979,0.934,"CA3","SHAM","F"
"285","C2-AD284_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
"286","C2-AD284_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
